ID,Question,A,B,C,D,Answer,Subject
20,陈述 1 | 对于有限群 G 和 H，|G + H| = |G||H|。（G + H 是内直积）。陈述 2 | 若 r 能除 m，s 能除 n，则 Z_m + Z_n 有一个同构于 Z_r + Z_s 的子群。,真，真,假，假,真，假,假，真,A,abstract_algebra
49,求 Z_8 x Z_10 x Z_24 某元素的最大可能阶数。,8,120,240,24,B,abstract_algebra
66,"陈述 1 | 若 R 是一个环，且 f(x) 和 g(x) 在 R[x] 中，则 deg (f(x)+g(x)) = maximum (deg f(x), deg g(x))。陈述 2 | 若 F 是一个域，则 F[x] 的每个理想都是主理想。",真，真,假，假,真，假,假，真,D,abstract_algebra
81,陈述 1 | 每一个非零自由阿贝尔群都有无限个基。陈述 2 | 每一个秩至少为 2 的自由阿贝尔群都有无限个基。,真，真,假，假,真，假,假，真,D,abstract_algebra
84,设 A 和 B 是集合，f: A -> B 和 g: B -> A 是函数，且满足所有 A 中的 a，g(f(a)) = a。陈述 1 | 函数 g 一定是单射的。陈述 2 | 函数 g 一定是满射的。,真，真,假，假,真，假,假，真,D,abstract_algebra
98,"Z_12 x Z_8 的 元素(4, 2) 阶数为",4,8,12,6,C,abstract_algebra
4,以下哪一项描述了肾的每个肾单位中包含的毛细血管丛？,入球小动脉,肾小球,亨利氏环,肾盂,B,anatomy
64,一例患者颈部被刺伤，疑诊颈后三角区域副神经损伤。为了评估神经功能，您会指示患者,在对抗性条件下伸展颈部。,在无限制的条件下伸展颈部。,在对抗性条件下抬肩。,在无限制的条件下抬肩。,C,anatomy
44,我们首先能够准确测量冥王星的直径是通过以下哪种方法：,20 世纪 90 年代的“新视野”号飞越,哈勃太空望远镜解析冥王星盘的图像,在冥王星和卡戎的日食期间进行的亮度测量,阿雷西博望远镜的雷达观测,C,astronomy
85,天文单位秒差距 (pc) 在天文学中起着至关重要的作用。一秒差距约等于 3.26 光年。天文学中如何定义一个秒差距？,一个天文单位与地球相距一角秒的距离。,太阳系一年内绕银河系中心的轨道距离。,太阳风的有效距离（即日光层的半径）。,与最亮的天狼星的历史距离。,A,astronomy
88,如果您生活在金星上，您会看到地球的哪些相位？（假设您的望远镜能透过金星厚厚的云层……）,新上弦和完整的下弦,残月、新月、上蛾眉月,上蜡凸月、满月、亏凸月,仅新月,C,astronomy
1,成功跑马拉松的关键要素是：,体力。,体能。,步幅长度。,耐力。,D,clinical_knowledge
17,关于肝肿大，下列哪项正确？,肺气肿是病因之一,肝脏从左肋向下肿大,黄疸、蜘蛛痣和紫癜的出现表明酒精是病因,肝脏通常对敲击有回响,C,clinical_knowledge
