ID,Question,A,B,C,D,Answer,Subject
22,"陈述 1 | R^2 中任何两个向量的集合都是线性无关的。陈述 2 | 若 V = span(v1, ... , vk) 且 {v1, ... , vk} 是线性无关的，则 dim(V) = k。",真，真,假，假,真，假,假，真,D,abstract_algebra
56,眶下神经,是三叉神经上颌支的终末支。,是面神经上颌支的终末支。,提供泪腺的副交感促分泌神经元。,支配眼轮匝肌下部。,A,anatomy
61,某种恶性肿瘤正在损害患者的舌咽神经，则患者,舌部前三分之二丧失味觉。,舌部前三分之二丧失躯体感觉。,舌部后三分之一丧失味觉和躯体感觉。,舌部肌肉麻痹。,C,anatomy
92,喉水肿通常局限于声带上方的喉部，这是因为,前庭襞内有许多黏液腺。,覆盖声带的黏膜与下层组织紧密相连。,液体将迅速引流至声带下方的胸腔内。,声带上方黏膜所含血管较声带下方黏膜多。,B,anatomy
108,胸廓是一个结构单元，对于下列哪个功能而言十分重要？,营养,月经,精神活动,呼吸作用,D,anatomy
3,您提出了一个科学理论，认为所有物体之间都存在引力。您的理论什么时候能被证明是正确的？,您第一次扔保龄球时，它掉到地上，证明您的假设。,在您多次重复您的实验之后。,您永远无法证明您的理论是正确的，只是“尚未被证明是错误的”。,当您和许多其他人已经验证了这个假设时。,C,astronomy
52,类地行星的核心主要含有金属，因为,整个行星主要由金属制成。,放射性物质通过铀的衰变在堆芯中产生金属。,金属首先在太阳星云中凝结，然后岩石在它们周围堆积。,金属在内部完全熔化的时候分化到中心。,D,astronomy
64,以下哪项特征并不一定表明我们发现的岩石是陨石。,它有一个熔壳,它含有凝固的球形液滴,它经过高度处理,它的元素组成与地球不同,C,astronomy
66,木星的轨道距离大约是 5 天文单位。太阳的亮度要高出多少倍，木卫二才能接收到我们目前在地球上接收到的相同太阳通量 (1380W/m2)？,亮度提高 100 倍,亮度提高 25 倍,亮度提高 2 倍,亮度提高 50 倍,B,astronomy
100,火星上所谓的“大脚怪”，其实是一块高约 5 厘米的岩石。它的角大小约为 0.5 度（~30 像素）。这块岩石离火星车有多远？,约 6 米,约 6 英尺,约 10 米,约 10 英尺,A,astronomy
36,胶原纤维：,在伤口愈合的头五天内重建。,在伤口表面提供一个桥梁。,需要一些时间来重建。,在伤口为初级愈合时不需要,C,clinical_knowledge
49,大多数游离脂肪酸在血液中如何运输？,在红血球里。,以脂蛋白的形式。,与葡萄糖结合。,与白蛋白结合。,D,clinical_knowledge
100,对于甲状腺功能减退症，以下哪项是正确的？,体重减轻,胫骨前粘液性水肿,TSH 水平升高,厌恶温暖的地方,C,clinical_knowledge
111,口腔中有多少种不同的微生物繁殖？,35,100,350,500,C,clinical_knowledge
114,被掩盖的等位基因被称为：,隐性的。,冗余的。,抑制的。,隐遁的。,A,clinical_knowledge
121,以下哪种工具是清洁口腔的首选工具？,小而软的牙刷。,用纱布包着的戴着手套的手指。,用纱布包着的钳子。,泡沫棒。,A,clinical_knowledge
171,下列哪一种药物最常导致出现急性精神错乱的患者？,海洛因（鸦片）。,摇头丸。,酒精。,大麻。,C,clinical_knowledge
179,对于持续 1-2 秒的强力收缩，初始能量来源为：,糖酵解。,肌酸磷酸化。,磷酸肌酸储存。,ATP 储存。,D,clinical_knowledge
234,对于手臂的感官评估，下列哪项是正确的？,用静脉穿刺针测试疼痛是可以接受的做法,本体感觉是通过与轻触相同的神经束来感知的,最好用 256 赫兹音叉测试振动感,疼痛冲动主要沿背柱向上传导,B,clinical_knowledge
1,当发生以下情况时，会产生移码突变,从 DNA 中去除端粒序列,密码子的核苷酸序列发生改变，因此其需要产生与原始氨基酸不同的氨基酸,在基因中插入或删除一个碱基对,密码子的核苷酸序列发生改变，从而不再编码特定氨基酸而是终止翻译,C,college_biology
30,以下所有物质都可能存在于结缔组织中，除了,凝血酶,糖胺聚糖,胶原蛋白,成纤维细胞,A,college_biology
58,第一类发展出足以支持其呼吸需求而无需辅助气体交换器官的动物群体是,两栖动物,爬行动物,哺乳动物,吸虫纲,B,college_biology
60,在最早的细胞形成过程中，以下哪个成分最有可能最先出现？,细胞核,质膜,线粒体,鞭毛,B,college_biology
81,以下哪种技术可用于证明蛋白质与特定 DNA 序列的结合？,Western 印迹杂交,Northern 印迹杂交,Southern 印迹杂交,电泳迁移率变动分析,D,college_biology
90,某些亲缘植物之间的杂交种是不育的，因为亲本植物的染色体数目不同。有时，这种杂交植物的染色体数目会自发加倍。以下哪项最好地描述了那些染色体数目加倍的植物的后代？,染色体数目加倍的植物在遗传上是有缺陷的，并且没有后代。,后代会因为增强的基因渗入能力而具有选择优势。,后代将能够成功繁殖，因为它们可以与亲本物种进行回交。,后代会恢复有性生殖的能力，因为染色体可以正常配对。,D,college_biology
94,以下哪项由 src 癌基因编码并催化磷酸基团向细胞蛋白质的特异性添加？,蛋白磷酸酶,腺苷酸环化酶,G 蛋白偶联受体,酪氨酸激酶,D,college_biology
36,计算 13C 在 298 K 时的极化度为 2.5 × 10^-6 时的磁场。,0.5 T,1.2 T,2.9 T,100 T,C,college_chemistry
51,考虑下列 0.1 M 水溶液，哪种溶液的 pH 最低？,Na2CO3,Na3PO4,Na2S,NaCl,D,college_chemistry
