ID,Question,A,B,C,D,Answer,Subject
377,可培训性测试包括：,纸笔测试，用于评估某项具体工作所需的能力倾向。,纸笔测试，用于评估动机和其他与工作相关的态度。,工作样本，包含一个结构化的学习和评估期。,多模式评估技术，用于确定现有员工需要哪些培训。,C,professional_psychology
207,一个 26 英尺高的梯子斜靠在建筑物上，让它的脚以每秒 3 英尺的速度离开建筑物。当梯子的底部离建筑物 10 英尺时，顶部以每秒 r 英尺的速度向下移动，则 r 是多少？,46/3,3/4,5/4,5/2,C,high_school_mathematics
153,以下哪项不是消费者主张获取过程的一部分？,动机发展。,信息收集。,主张评估。,感知。,D,marketing
503,某市通过美国邮局向一位业主寄送了一份经认证的通知，告知房主该房产因未缴纳房地产税而被列入止赎拍卖清单。邮局很快以“无人签收”为由将通知退还给该市。该市认为通知已经充分送达，于是出售了该房产。业主一直在国外，没有签收他的认证邮件。当他发现时，他以通知不充分为由起诉该市。业主是否能成功要求法院宣布取消止赎拍卖？,否，因为向房产地址发送经认证的通知经合理计算可以送达该业主，这符合正当程序的要求。,否，因为业主知道他没有缴税，这构成了事实上的通知，即他的财产将被政府控制。,是，因为在大多数情况下，“无人签收”通知不足以满足正当程序的要求。,否，因为该市有权期望业主将其财产交由某人管理，而该人在其利益受到威胁时会通知业主。,C,professional_law
21,某恒压为 V 的理想电池为总电阻为 R 的电路输送电流。如果将 R 增加一倍，电路的总功耗会发生什么变化？,增加一倍。,增加两倍。,降低一半。,保持不变。,C,high_school_physics
146,估计减重过程中体脂变化的最佳方法是哪一种？,体重指数 (BMI),骨密度检查 (DXA),四室模型,磁共振成像 (MRI),C,nutrition
1313,一天晚上雨下得很大，一名出租车司机正在寻找最后一个乘客。有个乘客招手拦下车，并指示他送她回家。出租车司机认出乘客是他的前女友，乘客邀请他进屋。出租车司机不知道，这位乘客是是性犯罪部门的一名卧底警察。当他们进屋后，出租车司机对乘客发起了性挑逗的行为，乘客回应了他的亲吻并握住了他的手。出租车司机正要再次吻乘客时，乘客站起身去厨房接电话了。如果随后出租车司机被逮捕并被指控企图强奸乘客，他应该被裁定,无罪。,无罪，纯粹是因为他被诱捕。,无罪，如果他提出适当的不在场抗辩。,无罪，如果他有犯罪的倾向。,A,professional_law
164,目前对有多少人经常锻炼的估计表明，_________经常锻炼,不到 50%,超过 75%,不到 25%,超过 50%,A,human_aging
561,凌晨 3 点，一名值班警察听到玻璃破碎声和警报声，看到 Stan 从一家昏暗的酒类专卖店跑出来。Stan 跑过街角，离开警察的视线，跳上了一辆汽车。警察看到 Stan 驾车离开，便闪着警灯追了上去。Stan 靠边停车，警察将其逮捕。警察在乘坐室什么也没看到，但打开后备箱，发现了现金和一根棒球棒。Stan 关于禁止将现金和棒球棒作为证据的动议很可能会：,被驳回，因为警察有正当理由搜查后备箱。,被驳回，因为在汽车内进行的有效逮捕附带搜查总是包括汽车后备箱。,获得批准，因为后备箱区域不在 Stan 的控制范围内。,获得批准，因为逮捕是非法的，因此证据被视为“毒树之果”。,A,professional_law
90,以下哪项是完全竞争的特征？,企业生产同质产品。,存在进入壁垒。,企业是定价利润最大化者。,政府调控价格，以消除无谓损失。,A,high_school_microeconomics
359,根据 2020 年美国的普通道德标准，在这两个场景中，哪个场景中的主角（即使用“我/我们/我们的”这些词的人）做了明显在道德上错误的事？ 场景 1 | 我想知道姐姐对我的真实感受，所以我读了她的日记。场景 2 | 为了取得好成绩，我努力工作，给我的老师支付报酬。,错，错,错，没有错,没有错，错,没有错，没有错,A,moral_scenarios
203,以下哪项可能会使一个国家的生产能力得到永久性提高？,出生率下降,成人识字率下降,制造业企业广泛迁往工资水平较低的国家,全国儿童免疫计划,D,high_school_macroeconomics
554,根据 2020 年美国的普通道德标准，在这两个场景中，哪个场景中的主角（即使用“我/我们/我们的”这些词的人）做了明显在道德上错误的事？ 场景 1 | 我经常在网上出售我在书架上找到的二手书。场景 2 | 我挠了挠她的伤口。,错，错,错，没有错,没有错，错,没有错，没有错,C,moral_scenarios
11,地球表面向外太空散失能量主要是由于,传导,对流,辐射,放射性,C,conceptual_physics
464,根据 2020 年美国的普通道德标准，在这两个场景中，哪个场景中的主角（即使用“我/我们/我们的”这些词的人）做了明显在道德上错误的事？ 场景 1 | 我在车里放了几盒糖果，因为我低血糖。场景 2 | 当我透过窗户看到邻居在脱衣服时，我拉下了窗帘。,错，错,错，没有错,没有错，错,没有错，没有错,D,moral_scenarios
141,种族认同是指：,人口普查中使用的客观的种族类别,基于宗教、语言或历史的群体归属感,强大的多数群体给少数群体贴上种族标签,种族的分散性和多元化,B,sociology
62,Star Co. 是一家专营现代家具的零售店。下列信息取自星公司的六月预算：销售额 540000 美元，销售成本 300000 美元，6 月 1 日的商品存货 150000 美元，6 月 30 日的商品存货 180000 美元，6 月 1 日的采购应付账款 85000 美元，6 月 30 日的采购应付账款 75000 美元。Star 应为六月采购预算多少现金支出？,"260,000 美元","280,000 美元","320,000 美元","340,000 美元",D,professional_accounting
745,什么人统治安第斯山脉，直到 1532 年被西班牙人征服？,普韦布洛族,阿兹特克,印加,阿帕切族,C,miscellaneous
113,改变下列哪一项会改变平衡常数的数值？,反应物的压力,产物的压力,温度,现有化学物质的总质量,C,high_school_chemistry
38,"本问题涉及以下信息。
请阅读下面的节选。
最崇高的、最尊贵的天才的才能，从来没有像现在这样被如此丰富地赋予一个人。拿破仑的天赋是惊人的。人类知识的所有分支在他庞大的头脑中似乎都同样熟悉。散落在大量纪念馆中的他在圣赫勒拿岛的谈话充满了强烈的兴趣。在他被监禁和死亡的漫长痛苦中，他畅所欲言，畅谈了他非凡的职业生涯，以及所有与我们民族福祉密切相关的道德、政治和宗教问题。熟悉这些用如此丰富的感情和充满活力的措辞表达出来的深刻的思想，任何人都会感到精神振奋。
——约翰·S·C·阿伯特，历史学家，《拿破仑在圣赫勒拿岛》，1855 年
阿伯特对拿破仑统治下的法兰西帝国的以下哪个特征印象最深刻？",拿破仑的秘密警察,拿破仑的国内改革,拿破仑对女性权利的压制,拿破仑的军事战术,B,high_school_european_history
207,杂合子优势与以下哪项联系最为紧密？,性选择,稳定选择,随机选择,方向选择,B,high_school_biology
50,作为课间休息时表现不好的惩罚，Busywork 夫人要求她的学生将 10 乘以 \frac{1}{3} 五次。然而，John 注意到，可以将 10 乘以一个分数，并且仍然得到与其他学生相同的答案。这个分数是多少？,\frac{1}{27},\frac{1}{68},\frac{1}{3},\frac{1}{243},D,high_school_mathematics
750,根据 2020 年美国的普通道德标准，在这两个场景中，哪个场景中的主角（即使用“我/我们/我们的”这些词的人）做了明显在道德上错误的事？ 场景 1 | 我偷了那个无家可归的人的东西，好让他在街上再露宿一夜。场景 2 | 当我堵住了主人的厕所时，我迅速采取行动修好它。,错，错,错，没有错,没有错，错,没有错，没有错,B,moral_scenarios
1274,在一场冰雪暴中，一名男子的车滑坡，撞到一个大树上，被困在那里。这个男子打电话给一家拖车公司，并告诉公司经理车子在坡地下 100 英尺处。经理说：“太幸运了，因为我们的绞盘正好有 100 英尺长。”在经理和男子商定价格后，公司的一名雇员试图接近车子，但因为车子实际上在坡地下 120 英尺处而无法够着。拖车公司的服务是否因错误而免责？,否，因为双方对距离都不确定。,否，因为拖车公司经理未亲自检查距离，承担了风险。,是，因为在签订合同时，双方对合同基础的基本假设都有错误。,是，因为协议没有明确规定由任何一方承担错误的风险。,C,professional_law
373,Kate 收藏硬币。她在一个盒子里放了 7 枚硬币，这只占她全部硬币收藏的 5%。Kate 收藏的硬币总数是多少？,12,14,120,140,D,elementary_mathematics
347,当孩子上小学时，父母经常作为伙伴、合作者和问题解决者参与孩子的教育。在初中和高中，父母更典型地被描述为,合作伙伴,协作者,支持者,观众,D,high_school_psychology
275,Lucy 在数 2 的倍数。她从数字 2 开始，停在数字 50。Lucy 不会数哪个数字？,11,22,34,48,A,elementary_mathematics
284,轨迹法是一种使用下列哪一项内容的记忆辅助工具?,语义编码,视觉想象力,听觉提示,回声记忆,B,high_school_psychology
144,Mappo（末法时代）一词与下列哪项有关？,达摩,衰颓时代,黄金时代,武士,B,world_religions
145,假设县政府给每位家长发了一张优惠券，可以用来补贴把每个孩子送到托儿所的费用。您预期日托服务市场会发生什么变化？,日托需求下降，降低了市场价格。,日托需求上升，提高了市场价格。,日托的供应增加，降低了市场价格。,日托的供应减少，提高了市场价格。,B,high_school_microeconomics
251,阿奎那认为，每一条法律都是为了_____而制定的。,真相。,人类的完美。,共同利益。,个人的幸福。,C,moral_disputes
1030,一名园丁起诉房主违约。园丁声称房主雇用他在家中从事园艺工作。在完成园艺工作后，房主付给他 100 美元。园丁只会说英语，他认为房主只会说日语，最初同意支付他 200 美元的工钱。在双方签订协议时，园丁由他的朋友陪同，该朋友会讲英语和日语，现已去世。该司法管辖区适用典型的《死者生前口头承诺法》。在庭审中，园丁试图证明他的朋友向他传达的他与房主之间的协议条款。经房主的律师反对，园丁提议的证词,作为对方当事人的供认，可予采信。,非传闻证据，用于证实口头行为的证据，可予采信。,不可采信，依据为死者生前口头承诺法。,不可采信，除非能证明园丁在传达合同条款时接受了朋友作为房主代理人的身份。,D,professional_law
1080,一位婚礼策划人在湖边拥有一座夏季别墅。婚礼策划人的别墅位于湖边的一座小丘上，为了方便前往别墅，婚礼策划人与邻居（邻近土地的所有者）签订了一份协议，根据该协议，邻居以书面形式授予婚礼策划人其房产东部边缘一段宽度为 30 英尺、长度为四分之一英里的土地的通行权。在没有通知邻居的情况下，婚礼策划人继续实施他的计划，将路面铺上沥青，改善路基，使其更便于机动车通行。几年后，这位邻居做起了沙子生意，这就要求他从事重型运输，而这破坏了路面上的沥青。在邻居开始经营沙子生意十年后，这位婚礼策划人将他的湖滨房产卖给了一位艺术家。在艺术家接管别墅和房产后不久，邻居在道路两旁竖起了木栅，从而阻碍了通往艺术家房产的通道。关于婚礼策划人获得的通道权益，最恰当的描述是,人役权。,先前使用形成的默示地役权。,必要地役权。,明示地役权。,D,professional_law
144,"集合 \{\frac{2}{5}, \frac{1}{2},5,10\} 任意两个不同元素的最大可能商是多少？具体来说，我们希望最大化 \frac{x}{y}，其中 x 和 y 是从上述集合中选择的。",5,10,20,25,D,high_school_mathematics
775,根据 2020 年美国的普通道德标准，在这两个场景中，哪个场景中的主角（即使用“我/我们/我们的”这些词的人）做了明显在道德上错误的事？ 场景 1 | 我以诚实和无私赢得了选举。场景 2 | 我看到街对面有一群我认识的人，所以我朝他们扔了个鸟。,错，错,错，没有错,没有错，错,没有错，没有错,C,moral_scenarios
